Trip_ID,Customer_ID_x,Driver_ID_x,Pickup_Location_ID,Drop_Location_ID,Start_Time,End_Time,Start_Time_Dim_ID,End_Time_Dim_ID,Day_of_Week_x,Month_x,Quarter_x,Is_Peak_Hour_x,Is_Night_Ride,Is_Weekend,Vehicle_Type_x,Distance_KM,Duration_Minutes,Fare_Amount_INR,Discount_Amount_INR,Final_Fare_INR,Tip_Amount_INR,Surge_Multiplier,Trip_Status,Cancellation_Reason,Payment_Method,Promo_Applied,Trip_Purpose,Driver_Rating_Given,Customer_Rating_Given,Name_x,Gender,Age_Group,City_x,Area_x,Phone_x,Registration_Date,Registration_Channel,Membership_Tier,Is_Active,Preferred_Payment,Preferred_Vehicle,Ride_Type_Used,Total_Rides_x,Rides_Per_Month,Total_Amount_Spent_INR,Avg_Fare_Per_Ride_INR_x,Promo_Codes_Used,Referrals_Made,Rating_Given_to_Drivers,Customer_Rating,Cancellations,Cancellation_Rate_Pct_x,Complaints_Raised,Last_Complaint_Type,Primary_Ride_Purpose,Peak_Hour_Preference,Night_Rides_Pct_x,Weekend_Rides_Pct,Surge_Rides_Pct,Last_Ride_Date,Days_Since_Last_Ride,Name_y,City_y,Area_y,Phone_y,License_Number,Vehicle_Number,Vehicle_Type_y,Vehicle_Age_Years,Fuel_Type,Vehicle_Ownership,Onboarding_Channel,Join_Date,Experience_Years,Verification_Status,Languages_Known,Availability_Status,Shift_Preference,Daily_Online_Hours,Total_Rides_y,Rating_x,Driver_Badge,Acceptance_Rate_Pct,Completion_Rate_Pct,Cancellation_Rate_Pct_y,Total_Earnings_INR,Monthly_Avg_Earnings_INR,Avg_Fare_Per_Ride_INR_y,Incentives_Earned,Penalties_Received,Last_Penalty_Reason,Complaints_Received,Compliments_Received,Peak_Hour_Rides_Pct,Night_Rides_Pct_y,Surge_Acceptance_Pct,Last_Active_Date,Days_Since_Last_Active,Feedback_ID,Customer_ID_y,Driver_ID_y,Reviewer_Type,Feedback_Type,Feedback_Channel,Feedback_Date,Day_of_Week_y,Month_y,Quarter_y,Is_Peak_Hour_y,Rating_y,Sentiment,Comment,Word_Count,Has_Emoji,Issue_Flag,Issue_Category,Follow_Up_Required,Response_Status,Response_Date,Resolution_Days,Escalated,Compensation_Given,Helpful_Votes,Repeat_Feedback
TRIP000008,CUST00791,DRV00858,LOC_PUN_003,LOC_PUN_004,2023-01-20 11:47:42,2023-01-20 11:58:42,TM_202301201147,TM_202301201158,Friday,January,Q1,No,No,No,SUV,2.72,11,178.72,21.57,157.15,0.0,2.0,Completed,,Wallet,Yes,Leisure,3.5,4.7,Suresh Shukla,Female,18-25,Pune,Kothrud,+91-8985519289,2022-02-04,App,Gold,No,Cash,Mini Cab,Both,139,3.93,20211.34,128.1,14,7,4.1,3.3,5,3.47,2,,Medical,Morning (7-10AM),37.5,31.9,15.5,2024-06-27,187,Sagar Jadhav,Mumbai,Borivali,+91-8046520366,MH0324905463,MH04UJ9512,Autorickshaw,4,CNG,Self-Owned,Agent,2020-05-20,13.4,Verified,Marathi+Hindi+English,Online,Flexible,14.0,3455,3.6,Bronze,95.3,73.1,27.9,529462.37,3292.68,136.39,8,1,Late Cancellation,7,20,24.4,27.8,62.8,2024-10-23,69,FBK000862,CUST00310,DRV00670,Driver,Vehicle Feedback,SMS,2024-09-08 21:38:00,Sunday,September,Q3,Yes,5.0,Positive,"Excellent ride, driver was very polite and professional.",8.0,No,No,,No,Closed,,,No,No,46.0,Yes
TRIP000009,CUST00554,DRV00283,LOC_PUN_014,LOC_PUN_004,2023-01-15 05:09:54,2023-01-15 06:25:54,TM_202301150509,TM_202301150625,Sunday,January,Q1,No,Yes,Yes,Autorickshaw,21.12,76,386.88,64.55,322.33,47.57,1.0,Completed,,UPI,Yes,School/College,4.8,4.0,Meena Patel,Female,46-55,Mumbai,Thane,+91-9573373782,2022-08-29,App,Gold,No,Net Banking,Autorickshaw,Both,150,5.26,71814.22,479.9,5,14,2.7,4.6,12,7.41,4,,Work/Office,Late Night (12-5AM),35.0,27.7,6.1,2024-07-04,180,Umesh Salunke,Mumbai,Kurla,+91-9456649301,MH1224237662,MH14EK8530,Autorickshaw,3,CNG,Self-Owned,Agent,2022-02-04,7.0,Verified,Hindi,Break,Flexible,13.3,6195,4.2,Silver,69.0,96.1,4.6,622212.68,7407.29,95.52,26,1,Route Deviation,4,8,40.8,38.8,91.0,2024-04-17,258,FBK000299,CUST00469,DRV00437,Driver,Vehicle Feedback,Call Center,2024-01-17 15:40:00,Wednesday,January,Q1,No,4.5,Positive,"Absolutely comfortable ride, no complaints at all.",7.0,No,No,,No,Resolved,,,No,No,22.0,No
TRIP000010,CUST00394,DRV00291,LOC_PUN_008,LOC_PUN_010,2024-06-24 00:50:16,2024-06-24 02:03:16,TM_202406240050,TM_202406240203,Monday,June,Q2,No,Yes,No,Sedan,28.81,73,1442.84,0.0,1442.84,0.0,2.0,Completed,,Card,No,Work/Office,4.7,3.6,Divya Joshi,Male,26-35,Mumbai,Powai,+91-7902999208,2022-10-16,App,Bronze,No,UPI,Sedan,Autorickshaw,16,0.59,3551.28,194.36,12,11,4.6,3.1,9,36.0,4,,Leisure,Morning (7-10AM),2.5,41.3,38.8,2024-08-31,122,Rajesh Bhosale,Mumbai,Thane,+91-8636999547,MH3823780240,MH15JW8539,Mini Cab,4,CNG,Self-Owned,Camp,2023-06-29,12.3,Verified,Marathi+Hindi,Online,Night (10PM-6AM),8.0,3777,3.8,Bronze,94.1,87.5,10.9,862919.25,5846.34,209.78,46,1,Route Deviation,7,29,67.1,21.1,79.0,2024-10-18,74,FBK000971,CUST00229,DRV00348,Driver,Driver Feedback,SMS,2024-07-18 07:25:00,Thursday,July,Q3,Yes,3.5,Neutral,"Normal ride, met basic expectations.",5.0,Yes,Yes,Route Issue,No,Pending,2024-07-19 22:25:00,1.0,No,No,12.0,Yes
TRIP000011,CUST00994,DRV00378,LOC_MUM_011,LOC_MUM_008,2024-08-04 22:55:16,2024-08-04 23:47:16,TM_202408042255,TM_202408042347,Sunday,August,Q3,No,Yes,Yes,Sedan,27.1,52,1317.2,0.0,1317.2,0.0,2.0,Completed,,Wallet,No,School/College,4.8,4.7,Rohan Verma,Male,18-25,Mumbai,Thane,+91-9826528102,2021-01-25,App,Platinum,No,Card,Mini Cab,Both,237,4.95,99879.48,411.77,0,12,3.3,4.2,18,7.06,3,,Airport/Station,Evening (5-9PM),26.2,28.4,11.7,2024-06-12,202,Deepak Shah,Mumbai,Kurla,+91-7969637681,MH4021159219,MH17VK3394,Mini Cab,3,CNG,Self-Owned,Agent,2018-03-02,10.6,Verified,Marathi,On Trip,Afternoon (2PM-10PM),12.4,4505,3.8,Bronze,67.2,70.7,30.0,1090513.05,8573.22,216.96,45,4,Misconduct,5,11,38.3,36.2,55.5,2024-02-19,316,FBK000050,CUST00640,DRV00162,Driver,Driver Feedback,App,2024-07-18 03:10:00,Thursday,July,Q3,No,5.0,Positive,"Very courteous driver, felt safe the entire journey.",8.0,No,No,,No,Resolved,,,No,No,34.0,Yes
TRIP000011,CUST00994,DRV00378,LOC_MUM_011,LOC_MUM_008,2024-08-04 22:55:16,2024-08-04 23:47:16,TM_202408042255,TM_202408042347,Sunday,August,Q3,No,Yes,Yes,Sedan,27.1,52,1317.2,0.0,1317.2,0.0,2.0,Completed,,Wallet,No,School/College,4.8,4.7,Rohan Verma,Male,18-25,Mumbai,Thane,+91-9826528102,2021-01-25,App,Platinum,No,Card,Mini Cab,Both,237,4.95,99879.48,411.77,0,12,3.3,4.2,18,7.06,3,,Airport/Station,Evening (5-9PM),26.2,28.4,11.7,2024-06-12,202,Deepak Shah,Mumbai,Kurla,+91-7969637681,MH4021159219,MH17VK3394,Mini Cab,3,CNG,Self-Owned,Agent,2018-03-02,10.6,Verified,Marathi,On Trip,Afternoon (2PM-10PM),12.4,4505,3.8,Bronze,67.2,70.7,30.0,1090513.05,8573.22,216.96,45,4,Misconduct,5,11,38.3,36.2,55.5,2024-02-19,316,FBK000209,CUST00698,DRV00990,Driver,Driver Feedback,App,2023-01-20 01:49:00,Friday,January,Q1,No,4.0,Positive,Driver arrived quickly and was very helpful.,7.0,No,No,,No,Closed,,,No,No,46.0,Yes
TRIP000011,CUST00994,DRV00378,LOC_MUM_011,LOC_MUM_008,2024-08-04 22:55:16,2024-08-04 23:47:16,TM_202408042255,TM_202408042347,Sunday,August,Q3,No,Yes,Yes,Sedan,27.1,52,1317.2,0.0,1317.2,0.0,2.0,Completed,,Wallet,No,School/College,4.8,4.7,Rohan Verma,Male,18-25,Mumbai,Thane,+91-9826528102,2021-01-25,App,Platinum,No,Card,Mini Cab,Both,237,4.95,99879.48,411.77,0,12,3.3,4.2,18,7.06,3,,Airport/Station,Evening (5-9PM),26.2,28.4,11.7,2024-06-12,202,Deepak Shah,Mumbai,Kurla,+91-7969637681,MH4021159219,MH17VK3394,Mini Cab,3,CNG,Self-Owned,Agent,2018-03-02,10.6,Verified,Marathi,On Trip,Afternoon (2PM-10PM),12.4,4505,3.8,Bronze,67.2,70.7,30.0,1090513.05,8573.22,216.96,45,4,Misconduct,5,11,38.3,36.2,55.5,2024-02-19,316,FBK000643,CUST00682,DRV00151,Customer,Driver Feedback,SMS,2024-06-18 17:29:00,Tuesday,June,Q2,Yes,4.5,Positive,"Driver followed all traffic rules, felt very safe.",8.0,No,No,,No,Resolved,,,No,No,1.0,No
TRIP000011,CUST00994,DRV00378,LOC_MUM_011,LOC_MUM_008,2024-08-04 22:55:16,2024-08-04 23:47:16,TM_202408042255,TM_202408042347,Sunday,August,Q3,No,Yes,Yes,Sedan,27.1,52,1317.2,0.0,1317.2,0.0,2.0,Completed,,Wallet,No,School/College,4.8,4.7,Rohan Verma,Male,18-25,Mumbai,Thane,+91-9826528102,2021-01-25,App,Platinum,No,Card,Mini Cab,Both,237,4.95,99879.48,411.77,0,12,3.3,4.2,18,7.06,3,,Airport/Station,Evening (5-9PM),26.2,28.4,11.7,2024-06-12,202,Deepak Shah,Mumbai,Kurla,+91-7969637681,MH4021159219,MH17VK3394,Mini Cab,3,CNG,Self-Owned,Agent,2018-03-02,10.6,Verified,Marathi,On Trip,Afternoon (2PM-10PM),12.4,4505,3.8,Bronze,67.2,70.7,30.0,1090513.05,8573.22,216.96,45,4,Misconduct,5,11,38.3,36.2,55.5,2024-02-19,316,FBK000794,CUST00594,DRV00475,Customer,Vehicle Feedback,SMS,2024-05-06 14:20:00,Monday,May,Q2,No,3.0,Neutral,Nothing special but no major issues either.,7.0,No,No,,No,Closed,,,No,No,18.0,No
TRIP000012,CUST00281,DRV00692,LOC_PUN_003,LOC_PUN_007,2024-12-22 23:09:39,2024-12-23 00:59:39,TM_202412222309,TM_202412230059,Sunday,December,Q4,No,Yes,Yes,Autorickshaw,27.57,110,517.98,0.0,517.98,0.0,1.0,Completed,,Net Banking,No,Work/Office,4.3,4.6,Shreya Rao,Male,36-45,Mumbai,Dadar,+91-7766815610,2022-06-30,Offline,Gold,No,Card,Sedan,Both,195,6.39,78275.53,354.21,10,3,4.8,3.1,2,1.02,2,,Work/Office,Evening (5-9PM),17.4,14.7,24.4,2024-02-28,307,Dinesh Shah,Pune,Hadapsar,+91-9231725731,MH2423397304,MH19IU3320,Mini Cab,7,CNG,Company Fleet,Agent,2019-09-08,2.3,Verified,Marathi+Hindi,Offline,Afternoon (2PM-10PM),5.6,1271,3.4,Bronze,55.7,82.0,16.9,138409.9,5014.85,101.02,37,3,Late Cancellation,6,2,42.8,22.7,64.2,2024-02-28,307,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIP000013,CUST00669,DRV00993,LOC_PUN_011,LOC_PUN_009,2024-07-22 20:43:05,2024-07-22 20:48:05,TM_202407222043,TM_202407222048,Monday,July,Q3,Yes,No,No,SUV,0.0,0,0.0,0.0,0.0,0.0,1.0,Cancelled,Weather,,No,Work/Office,,,Kiran Singh,Female,18-25,Pune,Wakad,+91-7597727907,2020-07-24,Offline,Bronze,Yes,UPI,Mini Cab,Autorickshaw,18,0.33,3891.64,219.84,29,13,4.4,4.2,6,25.0,0,,Leisure,Afternoon (12-3PM),17.1,38.1,12.3,2024-11-23,38,Raju Jadhav,Mumbai,Dadar,+91-9160878397,MH1023421276,MH04SU3212,Sedan,11,Diesel,Rented,Agent,2023-05-17,7.3,Verified,Marathi+Hindi,Online,Flexible,12.5,5481,3.8,Bronze,75.2,91.9,11.4,2136794.06,24392.63,392.26,11,3,Overcharging,2,19,69.2,29.3,37.7,2024-03-18,288,FBK000730,CUST00294,DRV00424,Driver,Overall Experience,Call Center,2024-12-22 05:20:00,Sunday,December,Q4,No,4.0,Positive,"Very courteous driver, felt safe the entire journey.",8.0,No,No,,No,Resolved,,,No,No,9.0,Yes
TRIP000014,CUST00081,DRV00369,LOC_PUN_010,LOC_PUN_013,2024-10-21 07:45:50,2024-10-21 07:56:50,TM_202410210745,TM_202410210756,Monday,October,Q4,Yes,No,No,SUV,1.17,11,114.9,0.0,114.9,0.0,2.5,Completed,,Net Banking,No,Work/Office,3.9,3.2,Sneha Rao,Male,36-45,Mumbai,Powai,+91-9582499803,2021-05-03,Referral,Silver,Yes,Card,SUV,Cab,48,1.08,2347.37,55.33,19,7,4.6,3.6,5,9.43,4,Route Issue,Medical,Evening (5-9PM),31.7,17.1,8.2,2024-10-19,73,Rakesh Mishra,Mumbai,Goregaon,+91-7853094740,MH1124514291,MH08ZK2643,SUV,3,Diesel,Self-Owned,App,2021-05-23,13.8,Verified,Marathi+Hindi+English,On Trip,Morning (6AM-2PM),5.6,10538,3.8,Bronze,64.7,83.6,12.4,4494037.47,27137.91,477.95,5,7,Late Cancellation,6,10,68.3,19.0,89.2,2024-06-25,189,FBK000342,CUST00433,DRV00429,Driver,Driver Feedback,App,2024-11-01 03:08:00,Friday,November,Q4,No,1.5,Negative,Surge pricing was way too high with no justification.,9.0,No,Yes,Route Issue,Yes,Escalated,2024-11-03 08:08:00,2.0,Yes,Yes,16.0,No
